Downloaded from https://mol.org on Oct 3, 2021. Inclusive species list based on approximate intersections with Political boundary polygon for the Mexico region. 


"Scientific Name","Common Name","Family","Taxonomic Group"
"Notiochelidon pileata","Black-Capped Swallow","Hirundinidae","Birds"
"Geothlypis beldingi","Peninsular Yellowthroat","Parulidae","Birds"
"Zonotrichia leucophrys","White-Crowned Sparrow","Emberizidae","Birds"
"Tolmomyias sulphurescens","Yellow-Olive Flycatcher","Tyrannidae","Birds"
"Aphriza virgata","Surfbird","Scolopacidae","Birds"
"Regulus calendula","Ruby-Crowned Kinglet","Reguliidae","Birds"
"Tigrisoma mexicanum","Bare-Throated Tiger-Heron","Ardeidae","Birds"
"Leptotila cassini","Cassin's Dove","Columbidae","Birds"
"Larus atricilla","Laughing Gull","Laridae","Birds"
"Tachycineta bicolor","Tree Swallow","Hirundinidae","Birds"
"Trogon aurantiiventris","Orange-Bellied Trogon","Trogonidae","Birds"
"Ara militaris","Military Macaw","Psittacidae","Birds"
"Glaucidium brasilianum","Ferruginous Pygmy-Owl","Strigidae","Birds"
"Anas americana","American Wigeon","Anatidae","Birds"
"Egretta rufescens","Reddish Egret","Ardeidae","Birds"
"Anas crecca","Common Teal","Anatidae","Birds"
"Amazona autumnalis","Red-Lored Amazon","Psittacidae","Birds"
"Megascops trichopsis","Whiskered Screech Owl","Strigidae","Birds"
"Crax rubra","Great Curassow","Cracidae","Birds"
"Legatus leucophaius","Piratic Flycatcher","Tyrannidae","Birds"
"Diglossa baritula","Cinnamon-Bellied Flowerpiercer","Thraupidae","Birds"
"Melanitta fusca","White-Winged Scoter","Anatidae","Birds"
"Buteo swainsoni","Swainson's Hawk","Accipitridae","Birds"
"Colaptes chrysoides","Gilded Flicker","Picidae","Birds"
"Eupherusa cyanophrys","Oaxaca Hummingbird","Trochilidae","Birds"
"Columbina passerina","Common Ground-Dove","Columbidae","Birds"
"Anser albifrons","Greater White-Fronted Goose","Anatidae","Birds"
"Burhinus bistriatus","Double-Striped Thick-Knee","Burhinidae","Birds"
